Comienzo implementación sockets para los detalles de las quedadas;2026-01-10
.;2026-01-09
Mostrar reportes y reportar la quedada;2026-01-09
.;2026-01-07
Continuación reporte usuarios;2026-01-07
.;2026-01-06
Comienzo reporte usuarios;2026-01-06
.;2026-01-01
.;2025-12-31
Avance en validación de campos;2025-12-31
Comienzo servicio de validación de inputs;2025-12-31
.;2025-12-31
Avances con los cambios de campos del perfil;2025-12-31
Comienzo arreglo validación contraseña en cambios de campos del perfil;2025-12-30
.;2025-12-30
Implementación verificaci´´onn por correo en registro;2025-12-30
Avances con los cambios de campos del perfil;2025-12-30
Avances con los cambios de campos del perfil (nombre, telefono...);2025-12-29
Avances con los cambios de campos del perfil en el front (nombre, telefono...);2025-12-29
Avances con login, registro, y creación de quedadas;2025-12-29
Comienzo filtros front quedadas;2025-12-28
Arreglo filtros back quedadas;2025-12-28
.;2025-12-28
.;2025-12-28
.;2025-12-28
.;2025-12-28
.;2025-12-28
Avance de los detalles de las quedadas;2025-12-28
Comienzo de detalles quedada;2025-12-27
Comienzo verificación por correo electrónico;2025-12-27
arreglo vulnerabilidades;2025-12-26
Avances en creación de quedadas;2025-12-26
Hasheo de contraseñas y comienzo de creación de quedadas;2025-12-26
.;2025-12-23
.;2025-12-23
Avances en el perfil del usuario y añadidos de páginas de los 2 primeros sprints;2025-12-23
.;2025-12-22
Avances Login y Search Meetings;2025-12-22
.;2025-12-17
Comienzo Funciones Usuario API;2025-12-17
.;2025-12-16
.;2025-12-16
.;2025-12-15
.;2025-12-15
Desarrollo consultas quedadas;2025-09-27
Dessarrollo back;2025-09-26
Comienzo del back;2025-09-26
Initial commit;2025-09-26
